x,y,area_px,cell_type
511,343,,ST
599,343,,ST
687,343,,ST
775,343,,ST
863,343,,ST
951,343,,ST
1039,343,,ST
1357,343,,ST
1445,343,,ST
1533,343,,ST
1621,343,,ST
1709,343,,ST
484,348,,ST
572,348,,ST
660,348,,ST
749,348,,ST
837,348,,ST
925,348,,ST
1013,348,,ST
1326,348,,ST
1414,348,,ST
1502,348,,ST
1590,348,,ST
1678,348,,ST
449,352,,ST
537,352,,ST
625,352,,ST
713,352,,ST
801,352,,ST
890,352,,ST
978,352,,ST
1066,352,,ST
1379,352,,ST
1467,352,,ST
1555,352,,ST
1643,352,,ST
1731,352,,ST
533,356,,ST
621,356,,ST
709,356,,ST
797,356,,ST
885,356,,ST
973,356,,ST
1061,356,,ST
1374,356,,ST
1462,356,,ST
1551,356,,ST
1639,356,,ST
1727,356,,ST
537,361,,ST
625,361,,ST
713,361,,ST
801,361,,ST
890,361,,ST
978,361,,ST
1066,361,,ST
1374,361,,ST
1462,361,,ST
1551,361,,ST
1639,361,,ST
1727,361,,ST
537,365,,ST
660,365,,ST
749,365,,ST
837,365,,ST
925,365,,ST
1013,365,,ST
1321,365,,ST
1410,365,,ST
1498,365,,ST
1586,365,,ST
1674,365,,ST
484,370,,ST
621,370,,ST
709,370,,ST
797,370,,ST
885,370,,ST
973,370,,ST
1061,370,,ST
1365,370,,ST
1454,370,,ST
1542,370,,ST
1669,370,,ST
475,374,,ST
612,374,,ST
700,374,,ST
788,374,,ST
876,374,,ST
964,374,,ST
1053,374,,ST
1343,374,,ST
1432,374,,ST
1520,374,,ST
1661,374,,ST
414,378,,ST
550,378,,ST
687,378,,ST
775,378,,ST
863,378,,ST
951,378,,ST
1039,378,,ST
1313,378,,ST
1401,378,,ST
1489,378,,ST
1630,378,,ST
1718,378,,ST
506,383,,ST
643,383,,ST
731,383,,ST
819,383,,ST
907,383,,ST
995,383,,ST
1083,383,,ST
1343,383,,ST
1432,383,,ST
1520,383,,ST
1661,383,,ST
475,387,,ST
612,387,,ST
700,387,,ST
788,387,,ST
876,387,,ST
964,387,,ST
1053,387,,ST
1308,387,,ST
1396,387,,ST
1484,387,,ST
1625,387,,ST
1714,387,,ST
515,392,,ST
638,392,,ST
727,392,,ST
815,392,,ST
903,392,,ST
991,392,,ST
1079,392,,ST
1330,392,,ST
1418,392,,ST
1506,392,,ST
1647,392,,ST
405,396,,ST
511,396,,ST
621,396,,ST
709,396,,ST
797,396,,ST
885,396,,ST
973,396,,ST
1061,396,,ST
1313,396,,ST
1401,396,,ST
1489,396,,ST
1625,396,,ST
1714,396,,ST
502,400,,ST
599,400,,ST
687,400,,ST
775,400,,ST
863,400,,ST
951,400,,ST
1039,400,,ST
1286,400,,ST
1374,400,,ST
1462,400,,ST
1551,400,,ST
1674,400,,ST
475,405,,ST
564,405,,ST
652,405,,ST
740,405,,ST
828,405,,ST
916,405,,ST
1004,405,,ST
1092,405,,ST
1392,405,,ST
1480,405,,ST
1590,405,,ST
1678,405,,ST
480,409,,ST
568,409,,ST
656,409,,ST
744,409,,ST
832,409,,ST
920,409,,ST
1009,409,,ST
1097,409,,ST
1396,409,,ST
1484,409,,ST
1573,409,,ST
1665,409,,ST
462,414,,ST
550,414,,ST
638,414,,ST
727,414,,ST
815,414,,ST
934,414,,ST
1079,414,,ST
1401,414,,ST
1489,414,,ST
1608,414,,ST
1696,414,,ST
484,418,,ST
572,418,,ST
660,418,,ST
749,418,,ST
837,418,,ST
1026,418,,ST
1114,418,,ST
1436,418,,ST
1559,418,,ST
1647,418,,ST
1749,418,,ST
511,423,,ST
599,423,,ST
687,423,,ST
775,423,,ST
863,423,,ST
1066,423,,ST
1392,423,,ST
1480,423,,ST
1603,423,,ST
1692,423,,ST
458,427,,ST
